content	lable
예능 보면서 진지 빠는사람 많네 ㅋㅋ극혐;;;;; 예능은 예능임 저거보고 인성 어쩌고저쩌고 ㅋㅋ어휴 노답	0
n차 하면 할수록 닐 너무 짠함ㅠㅜ 어쩐지 처음부터 눈빛이 묘하더라	1
오 ㄱㅊ노?? 박 하나 심어놓은다음에 존나패는거	0
홍위병들 뭉가 추가 위한다고 아가리 돈이 들어오나?	0
시어머니 모셔다 친정엄마 생신상도 차려줄건가! 제능력껏 하던가 친정엄마까지 모셔다 생고생시키면서 점수따고싶나 골빈건지 철딱서니가 없는건지 나이도 40 이나 먹었구만!	0
남자측 욕하지마세요	1
예술병 걸린 힙스터들이 또 오지게 의미부여하고 빨아줄듯	0
오창석 잘생기고 연기도 괜찮은데.. 왜 이런데에....ㅠ피고인때 더 퐉 터뜨렸어야했나	1
오로지 냄비가 무기인 오징어썩은 냄새나는 세균덩어리김 치 년 들	0
좆냥이주인쉑덜왜 집사집사 ㅇㅈㄹ함 ?	0
이건 무슨 소리?	1
심뽀 더러운 인간들 많네젊은 청년이 열심히 하는게 참 대단하다 싶은데반면에 시기질투하는 인간들도 많을거야	1
공장가야할새끼들이 재수한다고 지랄 꼴깝을 떨어대니깐 자기도 툭튀어 나오는거지 ㅋㅋ	0
차은우는 아스트로 탈퇴하고 배우길 걸으면 안돼나요?	1
처먹는 예능 그만좀 해라..예능이랍시고 노이즈 마케팅으로 식당 이용하는것도 아니고	0
베트콩들 왜이리 나댑니까	0
담배피는 여자연예인들 아갈똥네	0
도희가 없어서 긍가	1
민주당이 압승인데 왜 이런걸로 지랄인지....	0
창문에 비춰지는 어머님 설거지 하시는 모습 레게노	1
재밍네영 기괴한거말그대로인듯	1
한국와서살면 그정돈 아무것도아닐텐데....이참에 귀화해라	1
헉 생각보다 엄청 예뻤네요??? ㅎ	1
잘생겼다 근데 40대비율 너무높다 으	1
근데 김지석은 나올 짬밥이 아닌데	1
방탄소년단도 이제 퇴물됬네 꺼져라 이제 ㅋㅋ	0
역시 오늘도 엔딩맛집	1
기독교 목사가 떡치고 다니고	0
최욱만 불쌍 ㅜ	1
사람이 저렇게 단기간에 찌우고 빼고 하는데 난 왜 근 10년이 지나도록 빼는거 하나가 어려운걸까..	1
신품 때 섹시하신 것도 잘 어울렸는데 이 컨셉은 쪼금 아쉽네용ㅋㅋ 그래도 예쁘심	1
요즘 과하게 오픈하시네 ㅋㅋ	1
틀딱이네 --- 먹을 나이 됐다	0
우익사쿠라 한국에서 꺼져줘~	0
문재앙부터 조사가자	0
장사해처묵고살기 힘들지 .그냥디져	0
요즘 차 좋던데 4년 탔는데 엔진오일만 몇번교환하고 뒷범퍼 추돌해서 교환한것밖에없는데 ~ 타이어교환할때가 되긴했지만 ~	1
아 이 개병신새끼씨발ㅋㅋ	0
인직 너무 귀엽고 ❤️	1
현지해설 풀하이라이트 부탁합니다	1
헨리편 노잼 황재균편 꿀잼	1
윤은혜는 어쩌고 ??? 이 나쁜 x꺄	0
765g? 865원가가 57달러밖에 안하는데 그게 아깝냐?	1
고럼고럼 당연한거지	1
참...실수해서 제대로 사과했는데 왜 자꾸들 그러는지	1
안할꺼면 글올리지마라 노잼	0
그냥 병신 프로그램	0
여자살인범들은 거의 비슷한게 있는데 수면유도제 아니면 수면제 농약 청산가리등 독극물이 주로 사용된다는점 우리나라 최초 사이코페스점수 만점을 기록을 기록한 엄인숙이라는 여자 사형수가 있는데 정말 잔인함 우선 무척 미인었다고 하고 순진하게 생겼다고 함 그걸 이용해 남자에게 접근 수면제를 먹이고 잠이들면 바늘로 눈을 찔러 장님을 만든다고 함 그다음 일부러 자빠뜨려 뇌진탕을 만들고 식물인간 상태가 되면 뜨거운 기름을 얼굴에 부었다고 함 그런식으로 상해보험이니 사망보험금이니 타먹으려고 자기 엄마까지 눈을 바늘로 찔러 장님을 만들고 보험금을 타먹은 희대의 싸이코페스년이었음	0
아 ㅅㅂ 음주운전 쓰ㄹㅔ기들 걍 뒤져라	0
ㅂㄷㅂㄷ 대지말고	0
마!! 옛날사진으로 사기치지 말고 저 시절로 돌아가라! 장가 가야지👏	1
아 ㅠㅠ 오빠 너무 잘생겼어요 .. ㅠㅠ 오빠 때문에 롤 시작했다가 등급 아이언4 나오고 접었어요	1
이제 이상민 빚쟁이 캐릭터도 끝난거 아냐?이제 블쌍한척 그만해라 솔까 저시키가 빚쟁이들에게 좋은팁 알려줬지 탁재훈은 걍 여자나 꼬시면서 살고 김수미는 왜케 많이 나와 무슨 욕쟁이 할망구 컨셉이냐	0
조민기 남자답노 한녀들 참교육 린정한다 ^오^	0
여자때문에 남자가피해보네	0
난 니 얼굴 보면 ㅈ이 싸그라든다ㅡㅡ	0
자꾸 말아먹는데 왜 나오지;;쟤들 키울 돈으로 나같음 신인그룹 만들겟노 이기야	0
게이야 내친구들이 순경이 많은데 순경의 미래는 으떻노 ㅅㅌㅊ노???	0
본인이 자신 있으니까 나온 거 겠지ㅎ 뜨거울 나인데ㅎ	1
어제 넘웃겻어여 ㅋㅋ특히 도전골든벨 ㅋㅋㅋ코요테 영원하라	1
1상으로 기사나오는건 첨봄 ㅋㅋ	1
진영이 형님은 우리 곡의 하술사 lYG행닝을 이기고 오셨으면 좋겠다는 마음입니다 행님~	1
저런식의 여론조성은 결국 남자들피해로 돌아옴 나중에 가봐라 진짜후회한다 여가부시발년들은 철지난 성교육으로 ㅈㄴ남자들은 이상성욕자니 니들이 성욕을 해소하는모든방법은 다 불법적이고음성적이다라고하는 마당에 뭐가 해결되겟냐ㅋㅋ 야동사이트도 다 막는 나라다 생각보다 더 병신같은생각을 윗대가리들은 하고있음	0
관람객의 90프로 이상이 이해못하는 영화를 감독탓이 아닌 관람객탓으로 돌리는 안타까운 사람들....	1
순간 베르통언인줄.....그가 아직도 내 머릿속에 있다........그립다..슈퍼얀....	1
개최국은 자동진출.	0
혐짤표시해라 ㅅㅂ 기분 더럽노	0
이거 아직도 하네?	1
정준영이 나이 많아서 너 싫어 하겠는데...무슨 헛소리냐	0
이와중 타짜는 일본감 ㅋㅋ정신빠진 녀ㄴ	0
성형할때부터 뭐지 싶었는데.... 은근 자존감 낮나 봄. 근 10년간 세계를 재패한 빙상 여왕이라 외모따위 개나 주라고 해도 수긍x1000만번 할 판국인데 성형하고 남친이 강남.	0
응 너 똥차 꺼져	0
역시 한국인은 남 잘되는 꼴을 못 봐	0
얼굴 왜저래?	0
맨날 못생기고 더럽고 늙은 기안 이시언 같은 한남퇘지들만 나오다가 깨끗하고 깔끔한 풋풋한 남자아이돌 황민현 나오니깐 화면이 달라지는거봐라~~ 그냥 보는거 자체가 재밌음 ㅋㅋ 역시 남자는 잘생기고 어리고 능력있고 봐야함~~	0
저걸 보고 사과를 떠올린다면 뇌 어딘가에 인식장애가 있는거 아닐까?	1
진짜 이렇게 애가지고도 축복못받기도 힘들듯..	1
하여튼 전라도놈들은 뒷배가 좋아 ㅉㅉ	0
사인은 재앙이지 뭐	0
저런 새끼는 그냥 무인도에 조두순이랑 둘이살게해라	0
터미널에서 옆에 버스 후진 넣고 출발하는데... 내가 탄버스 앞으로 가는 줄 ...	1
좌좀 정서만 없으면 ok	0
김일성이 중국말 러시아말을 하는 조선족짱깨라메?? 그거 보고 충격먹음 시발 지금 우리가 중국이랑 싸우고 있다는 거자나	0
노무현 실루엣이면 뭐 어쩌라구 놈현이 신이냐아주 어거지네	0
계집이란 어차피 사내의 손을 타게되는것을.. 그리고 사내로 태어나서 계집질도 하는거지. 계집년 한두명때문에 대한민국 영화계 거물하나가 또 사라지는구나!	0
이쯤되면 3년이나 버틴 안재현이 대단하단 생각이 든다	1
쓰레기는 쓰레기 취급을 당하는구나	0
앞머리 있으니 예쁘잖아..	1
진영아 원더걸스 재결합 가자	1
재혼한지는 12주짼데 임신은 32주째면 ...하여간에	0
우리찜니 넘조아	1
대가리를 밟혀봐야 정신드는 유형	0
처음엔 신동욱 욕햇는데 생각해보니까 주변에 할아버지같은분 계셨음 ㅜㅠ 무섭다	1
어휴... 저 쓰레기젤을 빠는넘이있네고추 썪는다	0
둘이 사겨요?	1
요즘 신종사기가 이거임틀딱들이 40대 아줌매미 에게결혼하면 10억대 아파트 명의준다고 꼬심알고보면 빚이 10억이상임근데 좋다고 결혼해서 틀니노후 뒤치닥거리함물론 틀니뒤지면 이자못내서 나앉음노후대책 ㅆㅅㅌㅊ	0
아무리 이찬원 1등이라고 난리쳐도 안되는거야! 왜? 대한민국 에 찬원이 처럼 부르는 가수는 많으니까^^ 하지만 임영웅이나 안성훈 처럼 부르는 가수는 없으니까 그게 팩트니까 !!	1
대단하네요. 일억오천 헉~~김호중씨 좋겠어요. 저런 팬들 있어서~수해 입으신 분들 빨리 복구 해야 할텐대 이런 분들이 있어서 다행이네요.	1
기자 제목 다는 꼬라지도 극혐 어휴 여자네	0
전라남도 화순	1
신천지 인가보네 ㅉㅉ	1
어려워요 진짜 어려워요	1
여자 얼굴이 궁금햄	1
저의자 내구도 존나 의심됨ㅋ글고 바닥에 고정도 아니네대가리가 있으면 저딴걸 설치할리가....	0
빨개이 새끼들 다 묻어버려야!	0
애둘이 다둥맘인가요. 제가 지금 다섯째 임신중인데요 둘을 다둥맘이라하니ㅋㅋ걍 웃음이ㅋㅋ	1
와 개이쁨 ㅌ	1
1절만해라 짤게에 또 글올리지말고 ㅋㅋㅋ	0
저정도 응디는 운동안해도 가능하다 시발 보정레깅스쳐입엇는데 저정도는 다 나와	0
결국 남자를 죽게 하는건 뇨쟈들...요즘 여자들 순결 지키고 한 남자 한테올인 하는 여자들 잇는지...원나잇 하는 세상에 ...여자들 니들은 남편 이랑할때 아다라시 엿나 ㅋㅋ	0
기레기. 길다가 돌맞는데 누가 가만히 있냐??? 쓰레기 어그로꾼 유트브정지당해야지 사회악이다	0
재밌다!!!! ㅜㅜ	1
좌빨 영화 납시요 개돼지들 선동시키기 딱이요	0
큐브가 그렇게 사내연애 많이한다며?	1
연기도 생각도 자꾸 죵답이네	1
조인성 연기 ㅈㄴ 못함 ㅇㅈ??	0
노령연금 무상진료 혜택보는 개돼지가 세금내는 우리보다 훨씬많아서 글쌔다	0
사람들 그렇게 오지랖을 떨더니 잘살고있나보네	1
둘다 싸까지없고 둘다 똑같이 보임 바람핀놈이나 혼자당하기 억울하니 세상에 고자질르는 년이나 둘다 똑바로 사세요	0
진짜 분위기이쁘다 얼굴도이쁘고	1
뇌물먹고 자살한 고 노무현 대통령이 분명히 봉하마을 부엉이바위에서 지켜보고 있을 것이다.	0
왜이리 부들부들거리는거냐? ㅋ ㅋ ㅋ	0
애쌔끼 몽타쥐하곤 깝쭞깝쭉 주둥이질하고 자빠졌네 야 이놈아야 이쁜 부선이 망사빤스나 하나 사주고 뻰질이하고 물꽊꽊이놈 끌어내라	0
차두리라고 하면 되지.. 세찌는 머야...	1
음주운전 시베리안 도그새끼. 그리고 아이 엄마는 아이들을 왜 밖에 기다리게 했는지도 이해 안간다.	0
축하드려요~~~^^행복하게 사시고 대장암두 얼른 완치하세요!!!	1
뭔 핀란드야 ㅆ. ㅂ	0
탄핵을 위한 촛불을 듭시다	1
장위안한테 카메라 들이대고 물어보면 재밌겠다. 만약에 중국 욕하면 장위안도 인체신비전에서 언제나 볼 수 있을텐데 ㅎㅎ	0
대깨문들은 국산차지 ㅋ	0
스포츠 머리 난이도 존내 높다.옆머리 뜨는 것은 다운펌하는게 맞다.셀프 컷 하면 뒷머리 좃같다.	0
오늘도 김치녀 출~동	0
와씨 탐난다	1
잘했다 이쁘다	1
섹스는 더불어 강간당한테 배워라. 그분야 최고 권위자 집단이다. ㅋ	0
이휘재 드디어 나갔냐? 이휘재 꼴 보기 싫어서 안봤는데 다시 봐야겠네~	0
박나래 유재석 강호동과 3대 엠씨에 연예대상 성훈하고 썸 밥블레스유 메인 꿰차고 완전 올해 대박이네요	1
학교다닐때 싹수 보이면 쳐맞고 개선되야 하는데 개조옻같은 학생인권 땜시 세상이 개판되고 있다. 자유가 남 인권 침해해도 되냐? 창작의 자유가 방종이냐? 쳐맞을것들 투성이다	0
니돈으로 갚아줘 대한민국 세금 남아도냐?? 미친 포퓰리즘이 나라 말아쳐먹는다.. 설마 저 말에 또 속으 표주는놈들 없겠지??	0
나무주방 나중에 곰팡이 어쩔.	1
고 김주혁님 돌아가셨을때 김주혁님 기사로 인터넷 도배되니까 그 난리치던 엑소의 개집들이었지 아마? ㅋㅋ	0
죄없는 공익제보자 테러하면 집회가아니라 폭동일어날줄알아라 군필문베충들아 저게 군대에서 가능한일이냐? 감히상상조차 할수없는일인데	0
와 진짜 하메스는 경기 지배하는게 지리더라 롱패스 하나하나가 다 쭉쭉 나감 이번 에버튼 볼만하다	1
드디어 오피셜 ㅊㅊ 근데 이미지가 왜 생강형 느낌이 나지?	1
홍진영 귀에서 뭐 이어폰 같은거 빼던데 제작진이 뒤에서 조종하고있는거 아님?? 짜고 치는 고스돕 ..	1
ㅈㄴ 작위적인느낌	1
도득놈들...부동산..중계업자들...	1
강동주도 나와야 하는거 아님?	1
할말이 없노 ㅋㅋ 아이큐 두자릿수 예상한다	0
둘이 사귀는구나 ㅠㅠ 잘어울리는데 너무부럽다	1
기레기넘 또 나섰네. 지금 쓰레기 배추량을 봐라. 조금이라도 줄여야 한다. 다른 기자들은 이렇게 안썼던데 완전 소비자 . 마켓팅하는 기업 다 망하는것처럼 썼네.. ㅎㅎ	0
좆같은 김치년들한테 선택받는게 메리트 있냐. 선택해도 거부다	0
하여간 흉기 언플 존나함. 이제 안먹히지 자국민이 호구도 아니고	0
누군지 밝히셈ㅋ 그리고 걘 연예계에서 영구퇴출가자 정유라랑 다를바없잖아ㅋ	0
전생에 나라를... 부러우면 지는건데! 쳇~	1
원작이 워낙 기괴해서 그런지 원작을 이기고 비빌만큼은 아니고 더빙도 많이 과장된 톤으로 어색한 느낌이었다. 그냥 적당적당하게 괜찮았다	1
니미 씹이나 차단해라.	0
ㅇㅇ 동탄아지매 2명이랑 만나봤지 뇌가없는대신 이쁘다	0
재앙이 오려나 참 미묘가 시기하네요	0
여러분 현재 한국이 적화통일 당하기 일촉즉발입니다 이것은 하나님을 잊은 한국에 임하는 하나님의 벌입니다 이제 모두 깨어나 회개하고 예수님믿으셔서 웃으며 예수님 만납시다! 천국에서 만나요!	1
쓰벌 새끼들아 보지마 보면서 왜 작가들에게 상처를 주나	0
에스더 정말 마음이 따듯하고 큰 사람같네요	1
죽은 세월호 구원파 교주 유병언이 조까사위 딸로환생한듯	0
기사를 봐도 뭔소리인지 모르겠네. 게다가 저당시 세균전이라니...판타지라도 이건... 농담이지?	1
김원희는 왜 애를 않놓노 불임인가	0
명예훼손으로 고소하면 답나온다	1
방금 유동근 아재 회장여자 한테 엄포 놓을때 포스 ㅎㄷㄷ간만에 정도전때 포스 나오더만 진작 이렇게 만들지 이상하게 캐릭터를 만들어 놓아서.	1
ㅋㅋ 매갈페미년들 연하남은 커녕 그 성질에 평생 누구하나 사귈수도 없어보이는구만 ㅋㅋ	0
이건우 저 저 아직도 때리고 있네 다음 주 까지 때릴 기세여;;	1
왜 여자만 항상 독박육아를 해야하는지 모르겠다	1
뿌염도 컨셉이것져 거슬리던데 암튼 연기잘해용공효진씨와도베프맴버로알고있는데 촬영장분위기좋겠어여	1
휴가 미복귀 연장은 아빠말고 꼭 엄마가 전화걸도록 해요 치과 정신과 다 됩니다	1
점점 이뻐지네ㄷㄷ와우	1
친선대사도 중졸에게는 시키지말자.	0
닥쳐 틀딱련아	0
갈수록 호감ㅋ	1
이곳이 전설의 시작이고 이근의 인기원인지점	1
우아 지오누나를 비방하더니 ㅋㅋ 이젠 생시람잡네 보수집권 멸망 아베대변인 주적은 북한이지만 니넨 쪽바리 제일 나쁘다는걸 명심해라	0
사실 황제원이 주인공임	1
씨가일단좋아야하고 밭도좋아야한다	0
역시 더듬어내로남불새끼들 실망시키지않는구만 ㅋㅋ	0
최진혁 연기보소 ㄷㄷ	1
윤서이니야 시시때때로 열폭하는 애라 그렇다지만 여기서 정우성까는 애들은 왜 그럼??? 유엔난민 홍보대사라서 SNS에 홍보 좀 한거갖고.. 윤서인 얘도 웃긴게 그러면 지도 평소에 입바른 소리라도 하든가.	0
개종자들	0
빠가야로~~ 안전하게 너희나 이빠이 쳐드세요!	0
가세연에서 퍼온거 보솤ㅋㅋ가세연 똥은 알지??가세연도 아줌마 부대가 점령 했더라김세의가 주예지 팬이라니까 아줌마들 부들부들	0
이런일이 네이버 1등 할것까지 있나? ㅜㅜ	1
제목 읽기 개힘드네일단 ㅁㅈㅎ줌	0
온니유라고 하고 다른사람과... 행복하게 잘 사세요...	1
절대 아무것도 사주지 말자.	1
에휴..결국 손주도 못보고 가시는구나..명복을 빕니다	1
아니 얼굴 하얗게 화장 하고 점 찍고 마른인 먼노 코스프레 하면 인종 차별이야??아니 그 장의사 본인도 다른 인종들이 코스프레 하는거 추천 하는 마당에 왜 제3자가 난리야.???	1
그건 기술자가 아니라 기사다 개병신아 제발 좀 ㅋㅋ	0
얘는 건성으로 사과하고 방송~항상 이런식 ㅋㅋ진심이라곤 눈꼽만치도 안보이고..	1
다솜도 인기가 많군 또 질투글이 배댓인거보니.. 도대체 어디가 설정같다는거냐? 나는 다른연예인들보다 더 꾸밈없이 혼자라이프 보여주는것같아서 보기 좋더만	1
박한별 수고 했어요 책임감있게...잔잔한 슬픔 표현도 잘했는데 연기력이 어쩌고..	1
김주혁님 죽은지 얼마나 됬다고... 이건쫌 아닌것 같네요..	1
디마리아는 메시아가 아닌 그냥 디마리아 라고불러라	1
아니길 바랬는데. 그런식으로 친하지 않길 바랬는데... 둘 다 어렸을 때 가수가 되기 위해 열심히 했던 사람들인데 왜 지금은 이렇게 된 거야...	1
힘내세요~ 응원합니다!!	1
Just way you are 빌리좆엘	0
ㅋㅋㅋ 난 그냥 벤츠 탈런다 돈있음 뭐하러 현대타냐 걍 다 하는 소리야 요즘 사설 AS도 많아서 수리비도 별로 안비싸 고장도 적고	1
대마는 절대로 하지말자	1
각 집단마다 저런 쓰레기들 존나 많음.	0
누가 악플을 달긴? 80년대 최악의세대라불리어는 여자들이지.	0
ㅇㄴㅇ 맴버중 한명은 친할법한데 ..ㅇㅅㅇ 라던지... 무슨일이 있었던거냐	1
빨갱이 새 끼 들	0
법부터가 지롤이네 법안 똑바로 안만드냐? 국개의원들..	0
존나 무섭내	0
너무 잘생겼오 진짜루😢😢💕김인딕이 체고양❗	1
갓지민! 나의 최애 여배우 입니다. 꼭 나와주시길	1
어떤기사에는 설현닮았다고 ㅋㅋㅋ	1
쵸비어머님도 롤하시나봐	1
리뷰 이천개 이상 달릴동안 4.8 유지해봤는데저런새끼들은 히스토리 들어가보면 어떤 가게든지 다 불만 투성이임다 버린데 개 병신같은 새끼 ㅋㅋㅋ병신 보존의 법칙이라 생각한다 물론 대응은 잘 해야지	0
백상까지 조작한 sm.문재인들어서고 방송 문화 경제등 비리와 부패가 더 심각하고 망하고있다.조작사기댜 sm비리와 조작으로 인기구걸하는데도 조사없는 문재인끌어내려야지	0
부동산 하락을 조장하는 유투버들은 그냥 놔두나형평성 문제다	1
개돼지집단 개한민족의 실상. 사촌이 땅사면 배아픈 민족이라 앞에선 웃어도 뒤에서 호박씨 까는게 일상임. 소름돋는 개한민족 무섭다.	0
그래도 이번에 동생 많이 차분해졌던데. 저번처럼 그러진 않더라 머리는 깔끔하게 묶는게 위생상 좋긴합니다 ㅎㅎ	1
현아 진짜 보기싫다	1
미쳣나????!!!! 다른사람이 빌린 돈을 왜 내가 낸 세금으로 갚아준다는 거야?! ㅁㅊ.. 개빡치네.아주 다 국가세금으로 니들 생색 다내고 저소득계층 사람들만 자기들 빚 갚아준다고 좋아라 하겠네..개빡친다고 신발ㅏㅏㅏ!!!	0
뭐 웬디가 다쳤다고? 이런 또 내가 병문안을 가야겠군	1
머찌네!년들은 금테 두르고.놈들은 노끈이냐?이게 진정 니까짓들이 추구하는 평등.공정.이냐?문빠 변신놈.년들아!	0
대깨문들은 죄다. 싸그리 한마리도 남김없이 잡아서. 똥통에 쳐넣고 농약에프킬라쥐약 락스청산가리술쳐먹고 오바이트 한것살충제유리가루 넣어서 애미추와 국조 인재문. 이 잡것들 주둥이에 쳐넣어야 하는디...	0
몰르면그럴수도있지 겁나예민ㅡㅡ	1
복지사회에 앞서 자본주의 시스템내 도덕성 강화가 우선이란 생각이 드는데 저만 그런가요?	1
구장을 잡아도 어째 맨날 바람 겁나게 부는대를 잡았냐	1
이엘리야 착한역해줘요ㅠㅠ겁나이쁜디ㅠㅠ참좋은시절?때 팬이였다구요ㅠㅠㅠ	1
진짜 부족한게 뭔지. 볼때마다 감탄해요. 나의 롤모델 안현모씨.	1
알고보니 이 미M친놈은 포풀리즘의 대마왕이었네	0
기자가 여자네요.. 화사가 저런 춤 추면 걸크러쉬라고 할거면서.. 그녀들의 이중성이란..	0
일단 정소영부터 누군지 모르겠음	1
하늘같은 남편한테 반말하는것만 봐도 구해선이 죽일련이다 남편이 니 몸종이냐 밸아먹을논아	0
참고로 강호동이 이만기 그때 딱 한번 이기고 그 뒤로 다 졌다더라 ㅋㅋ 1박2일때도 그렇고 다음주 2부에 또 붙음 초기대!!!	1
BBW 취향이긴한데 가슴은 빵빵해서 좋다 이기	0
연희 좋아 감바때	1
ㅇㅎ 과거도 현재도 민족의식 애국심 존나 안드는건 마찬가진가지네	0
나도 여자지만 난 너무 저러는거 아니라고 본다...왜저러는거야??? 진짜???? 사람 왜 또 몰아세워??? 죽을 죄를 진거 아닌데??? 어지간하네...ㅡㅡ보지마!!! 안보면 되잖아!! 맞는말이네!! 너희가 더 같은 여자로써 불편해!!!	1
그냥 둘은 서로좋아하고 사랑한거뿐인데 왜 남의 연애에 간섭하는거야 진짜 불쌍하다	1
짐 없이 1인 생활하는 남자분께 적당합니다.	1
이병헌 조승우하면 2000년대 부터 젊은배우들중 연기력으론투탑이라 생각했는데 올해로 이병헌은 벌써 51살ㅋㅋ 근데 전혀 그렇게 안느껴져 신기해	1
꽁초보다 역겨운 죄인이잠아	0
뽑힌 애들도 안됐다..주작논란에 탈락 연생들이 더 인기있고.. 앞으로 우째됄지	1
얼굴도 완전 미인인데다ㅠㅠ 똑똑하기까지 정말 부럽습니다	1
사진땜시 기분 잣같아져서 ㅁㅈㅎ	0
스트레스가 원인일듯 문재앙이 책임저라	0
자발적 무자녀부부 좋을까?나이들어갈수록 아이가 행복 이던데	1
더 자숙하세요. 음주운전은 살인미수!	1
별 시덥지않은 악플들은 모냐	1
많이 무섭진않은데 약간 징그러운거 싫어하시는분들은 조금 참고해주세요 ㅎㅎ 너무 잼있었어요!! 강추추추춫추추	1
ㅋㅋㅋ 이젠 하다하다 신문도 코미디하네ㅋㅋㅋ	1
실제로 김대중이라고 했는데 김재중이라고 한거라고 구라친거라는 생각은 안해봣노 ?	0
김유석은 아버지가 아니라 형님 같고 장미희는 꽃같이 곱게 설정해 놓곤 왠 치매?	1
그냥 노래만 해줘요 ㅠㅠ	1
핵이쁨... 이전에 황정음이랑 나왔을때 찹쌀떡이었는데 배역이랑... 다시 그런 배역 맡았으면 .	1
저거 다 이케아제 싸구려 아니니? ㅋㅋ 먼 요양병원 의자 몇개가져다놓고 핀란드래 푸핫 ㅋㅋ	1
모든수수료 100만원 이하로 하고개인 거래 서류 등을 동사무소 에서 할수 있도록 해야 한다	1
생각보다 너무 재밌었네용ㅎ	1
김희철 * 민경훈 (아는 형님) = 워터스포츠웨어브랜드 미 스 트 랄	1
왜 슬프게 간 설리를 또 꺼내서 또 화두에 오르게 하나. 이슈로 화두가 되어 돈된다면 부모고 타인이고 저렇게 가만히 두질않으니.. 설리가 너무 안쓰럽고 슬프네요. 진짜 아낀다면 조용히 미안한 마음 담고 사셨어야지	1
지디 얼굴이 변했네요 부어도보이고...	1
폐지가 답 전현무 꼴 베기 싫어	0
박민영은 ... 드라마 찍을때마다 스캔들 나	1
현빈 눈빛너무 안좋네...	1
개돼지 대구민들 ㅜㅜ	0
반고정 가즈아 나래 사장님 집밥 에피 나왔음 해요ㅜㅜ 기석이 힘내랏	1
차라리 그 돈으로 쌀이나 한포대씩 줘요	1
네 다음 반일국뽕 폭도	0
ㅋㅋㅋ으이그... 진짜 정신병자들 많다	0
저런 놈년들 안봤으면 한다	0
일베좌파임.	0
다애미뒤진 새끼들이라그래	0
예전이나 외모가 똑같네. . .	1
이색히들은 코로나종식했다더구만..짱개발 인천행 뱅기에 탑승한 짱개가 한국와서 우한폐렴확진받았으니..	0
마약중독에 성형중독에... 휴	0
차판다고 하지 아노았나..	1
MBC 이제는 폐업할때 . 좌빨의 선동만이 남아있는 쓰레기 .	0
앗 페트리 결혼 했었나요?ㅎㅎ 축하드려요^^	1
어떻게 하면 저렇게 잘생길 수가 있지?	1
못생겼으니 옷이라도 뻘겋게 입고 뻘건살 내놔야지 근데 극혐	0
이미 멋있는데. 아빠되니 또 한단계 업그레이드 되겠네요. 넘 축하드리고. 기대됩니다. 제이왑피 쥬니어	1
지22럴 하네 남자가 봐도 심각?? 메갈련들이겟지 아님 기생충 박사같은 부류거나	0
개소리하면서 도망가지 말고 근거 가져와 씨발 새끼야 ㅋㅋㅎㅋㅋ	0
송혜교는 예쁜데 댓글이 너무 인위적이라 보니까 30-40대 비율ㅋㅋ역시 나이많은 여자는 나이많은 여자보고 예쁘다 하는구나	0
화나고 짜증날일이지 마음의 상처로.. 뒤끝 길구나.. 뭐 얼마나 큰 피해를 봤길래	1
김구라 범죄자 모습같어	0
계속 제 잘난 맛에 사니 그렇지. 언젠가 크게 걸릴거야. 비싼 넌 일반인은 싸구려 기성복으로 보일테지. ''싼 게 비지떡이예요.''	0
ㄹㅇ 똑같은 업무지시를 해도 사람 진짜 존나 빡치게 만드는 재주가 있음	0
